Testing W = 0.1
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.685371, 0.685351, 2.80651e-13, 5.019e-10, 0.661495
39.5: 0.686737, 0.686724, 1.12596e-18, 4.99236e-12, 0.663272
39: 0.687955, 0.687951, 4.61921e-24, 2.75536e-15, 0.664949
38.5: 0.689012, 0.689017, 1.82921e-29, 2.57191e-17, 0.666517
38: 0.689893, 0.689906, 6.99832e-35, 1.20706e-22, 0.667965
37.5: 0.690579, 0.690601, 2.58772e-40, 1.15038e-24, 0.669282
37: 0.691051, 0.691082, 9.25135e-46, 1.11134e-26, 0.670456
36.5: 0.69129, 0.69133, 3.19893e-51, 9.60244e-29, 0.671472
36: 0.691271, 0.69132, 1.0702e-56, 5.88137e-34, 0.672318
35.5: 0.690971, 0.691028, 3.4652e-62, 1.87772e-39, 0.672976
35: 0.690359, 0.690426, 1.08624e-67, 5.88189e-45, 0.67343
34.5: 0.689407, 0.689482, 3.29751e-73, 2.39576e-47, 0.673661
34: 0.68808, 0.688163, 9.69714e-79, 6.50901e-53, 0.673649
33.5: 0.686339, 0.686432, 2.76297e-84, 5.17684e-55, 0.673371
33: 0.684144, 0.684246, 7.62985e-90, 2.19864e-60, 0.672803
32.5: 0.681448, 0.681558, 2.04254e-95, 1.38938e-62, 0.67192
32: 0.678199, 0.678317, 5.30184e-101, 7.30804e-65, 0.670692
31.5: 0.674339, 0.674465, 1.33469e-106, 1.69823e-70, 0.669088
31: 0.669804, 0.669937, 3.25945e-112, 3.55331e-74, 0.667075
30.5: 0.664521, 0.664662, 7.72263e-118, 7.63576e-80, 0.664614
30: 0.658409, 0.658557, 1.77554e-123, 1.75841e-85, 0.661665
29.5: 0.651378, 0.651533, 3.96203e-129, 3.91879e-91, 0.658185
29: 0.643326, 0.643486, 8.58211e-135, 8.47893e-97, 0.654126
28.5: 0.634137, 0.634303, 1.80481e-140, 1.78109e-102, 0.649435
28: 0.623683, 0.623853, 3.68534e-146, 3.63281e-108, 0.644056
27.5: 0.611819, 0.611993, 7.30784e-152, 7.19544e-114, 0.637929
27: 0.598386, 0.598562, 1.4074e-157, 1.38415e-119, 0.630988
26.5: 0.583206, 0.583383, 2.63268e-163, 8.02965e-122, 0.623163
26: 0.566089, 0.566265, 4.78379e-169, 1.07793e-123, 0.614382
25.5: 0.546836, 0.547009, 8.44473e-175, 3.41455e-126, 0.604569
25: 0.525255, 0.525423, 1.44831e-180, 9.88876e-129, 0.593646
24.5: 0.501189, 0.501349, 2.41352e-186, 4.36776e-131, 0.581541
24: 0.474564, 0.474711, 3.90784e-192, 1.5692e-133, 0.568185
23.5: 0.445467, 0.4456, 6.14862e-198, 6.71971e-136, 0.553525
23: 0.414255, 0.41437, 9.40112e-204, 1.63938e-141, 0.537534
22.5: 0.381631, 0.381726, 1.39683e-209, 4.59118e-144, 0.520217
22: 0.348622, 0.348697, 2.01688e-215, 1.85306e-146, 0.501641
21.5: 0.316357, 0.316414, 2.8301e-221, 9.18442e-152, 0.481945
21: 0.285756, 0.285797, 3.85925e-227, 3.40986e-154, 0.461357
20.5: 0.257324, 0.257353, 5.11437e-233, 8.4425e-157, 0.440194
20: 0.231167, 0.231188, 6.58618e-239, 2.71611e-159, 0.418845
19.5: 0.207121, 0.207136, 8.24199e-245, 9.30883e-162, 0.397739
19: 0.184882, 0.184893, 1.00228e-250, 1.00198e-167, 0.377202
18.5: 0.164093, 0.164101, 1.18435e-256, 3.83503e-171, 0.357574
18: 0.144377, 0.144383, 1.35985e-262, 8.47453e-174, 0.339023
17.5: 0.12533, 0.125334, 1.51701e-268, 1.12762e-176, 0.321623
17: 0.106482, 0.106485, 1.64414e-274, 9.60282e-183, 0.305379
16.5: 0.0871815, 0.0871837, 1.73118e-280, 1.05187e-188, 0.29023
16: 0.0662491, 0.0662505, 1.77063e-286, 3.28787e-191, 0.2761
15.5: 0.0402755, 0.0402763, 1.75913e-292, 2.97104e-197, 0.262886
15: 1.52224e-09, 1.52286e-09, 1.69753e-298, 2.96478e-203, 0.2505
14.5: 4.29141e-11, 4.29317e-11, 1.59085e-304, 2.75266e-209, 0.238847
14: 1.81293e-13, 1.81367e-13, 1.44952e-310, 2.16166e-213, 0.227842
13.5: 3.08317e-16, 3.08444e-16, 1.29205e-313, 1.35255e-219, 0.217406
13: 2.82737e-19, 2.82854e-19, 2.57692e-313, 4.11967e-222, 0.207471
12.5: 1.61958e-22, 1.62024e-22, 4.6583e-313, 3.43397e-228, 0.197974
12: 6.33646e-26, 6.33903e-26, 8.2583e-313, 8.00761e-231, 0.188862
11.5: 1.79813e-29, 1.79885e-29, 9.43596e-313, 4.42309e-237, 0.180077
11: 3.86426e-33, 3.8658e-33, 1.03281e-312, 7.8199e-240, 0.171584
10.5: 6.49631e-37, 6.49889e-37, 1.22145e-312, 3.61191e-246, 0.163337
10: 8.76101e-41, 8.76455e-41, 1.36453e-312, 9.51055e-249, 0.155299

Testing W = 0.2
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.730803, 0.730846, 4.43057e-12, 4.487e-12, 0.722887
39.5: 0.730685, 0.730738, 8.75011e-18, 3.6449e-14, 0.723262
39: 0.730286, 0.730349, 6.92533e-20, 1.17181e-19, 0.723408
38.5: 0.729578, 0.729651, 2.57939e-25, 2.14759e-25, 0.723307
38: 0.728533, 0.728616, 4.5696e-31, 3.81561e-31, 0.722935
37.5: 0.72712, 0.727212, 7.85915e-37, 1.70629e-33, 0.722271
37: 0.725302, 0.725405, 1.30871e-42, 1.23211e-35, 0.721287
36.5: 0.723041, 0.723154, 9.14105e-45, 1.55221e-37, 0.719957
36: 0.720295, 0.720417, 2.62179e-50, 1.28872e-39, 0.718248
35.5: 0.717014, 0.717145, 3.9562e-56, 1.84431e-41, 0.716128
35: 0.713145, 0.713286, 5.79929e-62, 1.91423e-43, 0.71356
34.5: 0.708629, 0.708779, 3.69923e-64, 3.70485e-49, 0.710504
34: 0.703398, 0.703557, 5.46532e-66, 2.30135e-51, 0.706915
33.5: 0.697379, 0.697546, 1.26486e-71, 6.54816e-57, 0.702746
33: 0.690485, 0.69066, 1.6304e-77, 8.4273e-63, 0.697943
32.5: 0.682622, 0.682804, 9.44655e-80, 4.8577e-65, 0.692451
32: 0.673681, 0.673871, 1.24738e-81, 1.23672e-70, 0.686216
31.5: 0.663539, 0.663735, 1.30806e-83, 4.787e-73, 0.679135
31: 0.652056, 0.652257, 9.27004e-86, 2.24632e-75, 0.671169
30.5: 0.63907, 0.639275, 1.13762e-91, 1.33023e-77, 0.662222
30: 0.624397, 0.624605, 1.21951e-97, 1.78929e-79, 0.65221
29.5: 0.607823, 0.608033, 6.11383e-100, 1.20204e-81, 0.641028
29: 0.589104, 0.589313, 8.87758e-102, 1.55944e-83, 0.628583
28.5: 0.567955, 0.568162, 8.28807e-104, 1.07867e-85, 0.614764
28: 0.544053, 0.544256, 1.95789e-109, 6.12792e-88, 0.59946
27.5: 0.517035, 0.51723, 8.66119e-112, 7.94077e-90, 0.582559
27: 0.486501, 0.486685, 8.71276e-114, 5.3343e-92, 0.563952
26.5: 0.45205, 0.45222, 1.72158e-119, 1.37778e-97, 0.543546
26: 0.413352, 0.413503, 7.16575e-122, 1.13378e-103, 0.521269
25.5: 0.370309, 0.370435, 1.79995e-127, 4.22025e-106, 0.497093
25: 0.323367, 0.323466, 1.3867e-133, 2.01138e-108, 0.471052
24.5: 0.274006, 0.274076, 5.403e-136, 8.07981e-111, 0.443261
24: 0.225183, 0.225226, 1.53438e-141, 1.35395e-116, 0.413958
23.5: 0.181038, 0.181062, 5.45056e-144, 3.7367e-119, 0.383503
23: 0.14506, 0.145071, 5.43182e-146, 1.33531e-121, 0.352377
22.5: 0.117938, 0.117944, 8.30361e-152, 1.46875e-127, 0.321164
22: 0.0979547, 0.0979574, 2.66867e-154, 3.27324e-130, 0.290459
21.5: 0.0829204, 0.0829219, 2.27258e-156, 9.19836e-133, 0.260907
21: 0.0711648, 0.0711656, 4.13078e-162, 2.75027e-135, 0.233067
20.5: 0.0615885, 0.061589, 2.32763e-168, 1.7663e-141, 0.207437
20: 0.0534831, 0.0534834, 1.29723e-174, 9.80877e-148, 0.184417
19.5: 0.0463766, 0.0463768, 3.83215e-177, 5.26787e-154, 0.164244
19: 0.0399333, 0.0399335, 6.33698e-179, 2.7267e-160, 0.146959
18.5: 0.0338868, 0.0338869, 3.68287e-181, 1.35967e-166, 0.132379
18: 0.0279828, 0.0279828, 1.91736e-183, 2.87989e-169, 0.120169
17.5: 0.0218949, 0.021895, 4.09027e-189, 1.82137e-175, 0.109935
17: 0.014959, 0.014959, 9.64212e-192, 4.30435e-178, 0.101293
16.5: 0.00253613, 0.00253614, 9.01568e-194, 7.29442e-184, 0.0939214
16: 7.42126e-09, 7.4214e-09, 2.36773e-196, 2.83344e-190, 0.0875581
15.5: 7.20376e-09, 7.2039e-09, 3.81653e-198, 1.11801e-196, 0.0819844
15: 3.56984e-09, 3.56991e-09, 2.0753e-200, 4.2072e-203, 0.077051
14.5: 2.76578e-12, 2.76585e-12, 3.87201e-206, 8.07915e-206, 0.0726321
14: 1.16993e-15, 1.16996e-15, 1.22984e-212, 1.0916e-211, 0.0686323
13.5: 1.98399e-16, 1.98408e-16, 2.47708e-215, 3.3143e-218, 0.0649765
13: 3.26496e-17, 3.28006e-17, 4.27764e-217, 1.05183e-224, 0.0616056
12.5: 4.59483e-18, 4.60341e-18, 1.99764e-219, 1.62297e-227, 0.0584725
12: 6.7223e-22, 6.7368e-22, 4.19319e-225, 1.65148e-233, 0.0555389
11.5: 6.12553e-26, 6.13871e-26, 9.81515e-232, 3.98469e-240, 0.0527738
11: 4.52916e-30, 4.53892e-30, 2.5928e-238, 6.70571e-243, 0.0501512
10.5: 2.87758e-31, 2.88378e-31, 4.08519e-241, 2.54012e-248, 0.0476489
10: 2.4126e-32, 2.41779e-32, 7.599e-243, 4.65371e-255, 0.0452483

Testing W = 0.3
Models: BAC, DCS, DS(theta), QBCR, QBPL
40: 0.751412, 0.751533, 3.20318e-12, 3.28439e-12, 0.749694
